d_model, num_layers, num_heads, batch_size, learning_rate, train_flops, loss
194,14,14,256,0.001,10000000000000,10.544493228912353
204,15,11,128,0.0001,10000000000000,10.546306355942038
204,15,13,128,0.0001,10000000000000,10.540584328784611
214,14,14,256,0.001,10000000000000,10.544493228912353
214,14,14,256,0.001,10000000000000,10.544493228912353
234,12,13,128,0.0001,10000000000000,10.540822411762655
204,15,15,256,0.001,10000000000000,10.544493228912353
224,14,13,128,0.0001,10000000000000,10.540822411762655
194,16,16,256,0.001,10000000000000,10.544493228912353
224,13,15,128,0.0001,10000000000000,10.540584328784611
184,17,16,256,0.001,10000000000000,10.541376672425272
204,14,14,128,0.0001,10000000000000,10.540443168391853
174,18,16,256,0.001,10000000000000,10.541376672425272
194,21,13,128,0.0001,10000000000000,10.539619230114399
164,17,16,256,0.001,10000000000000,10.540597166314125
184,16,13,128,0.0001,10000000000000,10.53987473915848
154,18,16,256,0.001,10000000000000,10.540597166314125
184,19,15,128,0.0001,10000000000000,10.537110777071414
144,17,16,256,0.001,10000000000000,10.540597166314125
134,15,15,128,0.0001,10000000000000,10.543700182365997
184,17,16,256,0.001,10000000000000,10.541376672425272
214,17,16,128,0.0001,10000000000000,10.540822411762655
174,17,16,256,0.001,10000000000000,10.541376672425272
184,17,16,256,0.0001,10000000000000,10.541452592824193
184,17,16,256,0.0001,10000000000000,10.541452592824193
174,18,14,128,0.0001,10000000000000,10.539845996368255
194,16,16,256,0.0001,10000000000000,10.539252504605502
174,19,13,256,0.001,10000000000000,10.541249890708922
184,17,15,256,0.001,10000000000000,10.541376672425272
174,14,12,256,0.0001,10000000000000,10.538482641443252
194,18,16,256,0.001,10000000000000,10.544458935737612
204,15,15,256,0.0001,10000000000000,10.539252504605502
184,19,16,256,0.001,10000000000000,10.541249890708922
194,21,14,256,0.0001,10000000000000,10.539286810510843
174,18,16,256,0.001,10000000000000,10.541376672425272
204,19,15,128,0.001,10000000000000,10.545393156528473
184,19,15,128,0.001,10000000000000,10.540776486607264
154,21,15,128,0.0001,10000000000000,10.536969616678652
194,18,15,128,0.001,10000000000000,10.545633975219726
224,21,14,128,0.0001,10000000000000,10.538309782062951
928,16,16,256,0.0001,10000000000000,10.541555480957031
931,16,16,128,0.0001,10000000000000,10.541300649642944
927,16,16,256,0.0001,10000000000000,10.541555480957031
928,16,16,256,0.0001,10000000000000,10.541555480957031
927,16,16,256,0.0001,10000000000000,10.541555480957031
926,17,14,128,0.0001,10000000000000,10.541229057312012
928,15,16,256,0.0001,10000000000000,10.541555480957031
926,18,13,256,0.001,10000000000000,10.543230390548706
927,16,15,256,0.001,10000000000000,10.54341263771057
926,13,12,256,0.0001,10000000000000,10.539968814849853
928,17,16,256,0.001,10000000000000,10.543230390548706
929,14,15,256,0.0001,10000000000000,10.54169729232788
927,18,16,256,0.001,10000000000000,10.543230390548706
928,20,14,256,0.0001,10000000000000,10.541471929550172
926,17,16,256,0.001,10000000000000,10.543230390548706
929,18,15,128,0.001,10000000000000,10.542788346481323
925,16,16,256,0.001,10000000000000,10.54341263771057
922,18,16,128,0.0001,10000000000000,10.541229057312012
926,15,16,256,0.001,10000000000000,10.54341263771057
929,18,15,128,0.0001,10000000000000,10.541229057312012
925,14,16,256,0.001,10000000000000,10.543333482742309
927,17,13,128,0.001,10000000000000,10.542788346481323
924,13,16,256,0.001,10000000000000,10.543333482742309
922,16,14,256,0.001,10000000000000,10.54341263771057
923,14,15,256,0.001,10000000000000,10.543333482742309
920,13,16,256,0.001,10000000000000,10.543333482742309
923,14,15,256,0.001,10000000000000,10.543333482742309
922,15,14,128,0.0001,10000000000000,10.541300649642944
